word,value
baperan,-4.0
bapet,-4.0
bara,-0.5
barbar,-5.0
bareng,0.0
baret,-3.0
barkas,-5.0
barua,-5.0
barut,-3.0
barzakh,-4.0
basi,-5.0
baskom,-4.0
basmi,-5.0
bastar,-2.0
batal,-5.0
batalion,-5.0
batang,-4.0
batas,-3.0
batas (waktu),0.0
batas waktu,-3.0
batel,-4.0
baterai,-3.0
batil,-4.0
batu,0.0
batu berdahak,-4.0
batu loncatan,-3.0
batuk,-4.0
batuk darah,-4.0
batuk kecil,-4.0
batuk kering,-3.0
batuk lelah,-4.0
batuk-batuk,-4.0
batung-batung,-4.0
bau,-4.0
bau kencur,-4.0
bau tanah,-1.5
bawa,-1.0
bawain,-3.0
bawel,-4.0
baya,-4.0
bayar,-1.0
bayi,-3.0
bayu,-4.0
bebal,-3.0
beban,-5.0
bebas,-4.0
bebat,-3.0
bebel,-5.0
becak,-5.0
becek,-4.0
becus,-1.5
beda,-2.0
bedah,0.0
bedegong,-4.0
bedel,-4.0
bedeng,-3.0
bedol,-4.0
begadang,-3.0
begah,-2.0
begak,-3.0
begal,-5.0
begana-begini,-4.0
begini,-1.0
beginian,-3.0
begitu saja,-2.0
begu,-4.0
beguk,-4.0
begundal,-3.0
bejat,-5.0
bekap,-3.0
bekicot,-4.0
belah,-5.0
belah ketupat,-4.0
belai,-4.0
belaian,-3.0
belain,-2.0
belaka,-1.0
belam,-3.0
belang,-5.0
belanja,-0.5
belas,-0.5
belati,-4.0
belembang,-5.0
belendung,-3.0
belenggu,-3.0
beleter,-4.0
beli,-0.5
belia,-2.0
beliin,-1.0
belikan,-1.0
beling,-1.0
belingsat,-4.0
belinjo,-3.0
belis,-4.0
belit,-3.0
beloh,-5.0
belom,0.0
beloon,-3.0
belot,-5.0
belu-belai,-4.0
belulang,-3.0
benah hati,-3.0
benak kepala,0.0
benar,-1.0
bencana,-5.0
bencat,-5.0
benci,-0.5
bencong,-5.0
bendel,-5.0
bendera,-3.0
benderang,-3.0
bendoro,-4.0
bendu,-4.0
bendung,-3.0
bengal,-4.0
bengap,-3.0
bengis,-5.0
bengkak,-4.0
bengkak hati,-3.0
bengkerap,-4.0
bengkok,-4.0
bengok,-4.0
benguk,-2.0
bening,-4.0
benjut,-4.0
bentak,-5.0
bentakan,-5.0
bentan,-4.0
bentang,-1.0
bentrok,-5.0
