word,value
bersahaja,5.0
bersaji,4.0
bersalin,3.0
bersama,3.0
bersamamu,3.0
bersambang,4.0
bersangga,4.0
bersanggama,1.5
bersauh,4.0
bersaur,3.0
bersayap,4.0
bersekolah,3.0
berseluk,3.0
bersemangat,1.5
bersemayam,0.5
bersembahyang,1.0
bersemi,3.0
bersenandung,4.0
bersendel,4.0
bersendeng,4.0
bersender,4.0
bersengat,5.0
berseni,4.0
berseri,4.0
bersesuaian,3.0
bersetuju,3.0
bersiap,1.0
bersimpati,4.0
bersinar,4.0
berstatus,4.0
bersulur,3.0
bersumber,4.0
bersungguh-sungguh,1.5
bersyukur,5.0
bertakwa,4.0
bertambatan,3.0
bertanduk,0.5
bertanya,2.0
bertanya-tanya,0.5
bertaraf,3.0
bertaruk,3.0
berteduh,0.5
berteguh hati,4.0
bertekan,1.0
bertekun,4.0
bertelinga merah,0.5
bertemu,2.0
bertenaga,5.0
bertenggang,3.0
bertepat guna,4.0
bertepatan,3.0
bertransaksi,3.0
bertunas,0.5
bertundangan,3.0
bertuntun,0.5
beruntung,4.0
beruntutan,3.0
berupaya,3.0
berwibawa,3.0
berwujud,2.0
berzikir,0.5
besar,1.0
besar akal,4.0
besar hati,3.0
besar lengan,0.5
besar-besaran,3.0
bestari,4.0
betapa,4.0
better,0.5
bianglala,4.0
bidasan,3.0
biduanda,5.0
bikinan,3.0
bilas,1.0
bilhak,3.0
bincang,2.0
bineka,3.0
binen,3.0
bingkis,4.0
bingkisan,4.0
birthday,4.0
bisikan,1.0
bismillah,4.0
bisnis,3.0
boleh,2.0
bolehan,4.0
bonafide,3.0
bonus,0.5
bonyok,5.0
booking,2.0
borong,0.5
bos,3.0
buaian,3.0
buat,1.0
buatan,3.0
bubuh,4.0
budak,4.0
budi pekerti yang baik,3.0
budiman,4.0
bugar,4.0
bujang,4.0
bukan main,4.0
bulang,3.0
bulat kata,3.0
bumbu,5.0
bumbung,3.0
bungkusan,4.0
buntut,1.0
bunyi,0.5
buruan,1.0
busana,2.0
buyung,4.0
cadangan,2.0
cakep,2.0
campur,5.0
candang,2.0
candrasa,3.0
cantum,4.0
capaian,4.0
care,2.0
cari ilmu,4.0
cash,2.0
catu,4.0
cawis,2.0
cebak,3.0
cedok,3.0
cegar,4.0
cekel,4.0
celengan,3.0
cemerlang,1.5
cempiang,3.0
cenangkas,3.0
cendera,4.0
cendera mata,4.0
cengkauan,3.0
cengkeraman,1.0
centil,1.0
cepet,2.0
cerapan,3.0
cerdik,2.0
ceri,4.0
ceria,1.5
ceritanya,2.0
cermin,3.0
cerminan,3.0
challenge,2.0
chat,3.0
check,1.0
cicip,3.0
cindur mata,4.0
cinta,1.0
cinta kasih,2.0
cintai,4.0
cintaku,4.0
cintamu,3.0
cintrong,0.5
ciptaan,3.0
cita rasa,3.0
citra,2.0
cium telapak kaki,1.0
ciyeee,1.0
coba,0.5
cocok,0.5
coffee,2.0
comel,1.5
congrats,3.0
cool,2.0
coret,0.5
coretan,0.5
couple,2.0
cover,3.0
cublik,4.0
cucu Adam,3.0
cuma-cuma,4.0
cumil,4.0
cute,2.0
cuti,0.5
dadak,3.0
dagel,3.0
dagelan,3.0
dahulu,0.5
daim,3.0
dakaik,3.0
dakwa,3.0
dalam,3.0
damar,4.0
dambaan,3.0
damping,1.0
dana,4.0
dandan,4.0
dansa,3.0
dapatkan,2.0
dapet,2.0
darah,1.5
datar,3.0
dateng,2.0
daulat,4.0
daya cipta,4.0
daya gabung,4.0
daya guna,4.0
daya pikir,0.5
daya tahan,5.0
dear,2.0
debat,3.0
debuk,3.0
dede,1.0
dedengkot,0.5
deduksi,3.0
defensif,4.0
definisi,3.0
definit,2.0
degap,3.0
deket,1.0
dekorasi,5.0
delusi,3.0
denda,3.0
dendam berahi,0.5
dendang,2.0
dengar,2.0
dengar pendapat,3.0
dengerin,3.0
dependen,3.0
deposito,3.0
derajat,5.0
derauan,3.0
deres,1.0
desain,4.0
desakan,4.0
detail,2.0
detailnya,1.0
determinasi,3.0
dewana,3.0
dewasa,2.0
diajak,1.0
diamond,3.0
dibalas,2.0
dibantu,2.0
dibayar,3.0
dicoba,2.0
dicuekin,1.0
digdaya,4.0
dihati,3.0
dikara,3.0
dikasih,2.0
dikirim,2.0
dikonfirmasi,3.0
dikte,3.0
dimiliki,1.0
dimulai,1.0
dinamika,3.0
dingin,1.0
dipantau,2.0
diproses,1.0
direktur,3.0
disarankan,1.0
disiplin,3.0
diskaun,3.0
diskon,2.0
dispensasi,3.0
distingtif,4.0
distribusi,3.0
diterima,2.0
ditunggu,2.0
diva,2.0
doain,2.0
dodor,3.0
dogmatis,2.0
dok,4.0
dol,3.0
dominan,0.5
dominasi,3.0
donatur,3.0
dongeng,1.0
donor,3.0
drama ria,3.0
drum,2.0
duga,1.0
dukung,4.0
dukungan,4.0
duli,0.5
dzuhur,1.0
eaa,1.0
eco,5.0
edar,2.0
efek,3.0
efektif,5.0
efisien,4.0
eja,3.0
eka,3.0
ekonomis,3.0
eksemplar,3.0
eksklusif,4.0
eksplisit,0.5
eksplorasi,4.0
ekstensif,3.0
ekstra,3.0
ekstremis,3.0
elegan,1.5
elektromotif,3.0
elite,5.0
elu,0.5
embel-embel,5.0
emir,4.0
emong,3.0
enak,0.5
endut-endut,3.0
eneng,5.0
energi,3.0
energik,2.0
enjoy,3.0
enteng,1.0
entitas,1.0
esa,3.0
esai,2.0
estetik,4.0
estetis,1.5
eviden,3.0
faal,4.0
fadil,3.0
faedah,1.5
fair,3.0
faktitius,3.0
faktual,3.0
familiar,2.0
fanbase,3.0
fans,2.0
fantasi,3.0
fantasy,2.0
fatamorgana,3.0
fatanah,3.0
fav,5.0
favorite,4.0
federasi,3.0
fertil,4.0
fiesta,3.0
figur,3.0
filantropi,0.5
filial,2.0
final,0.5
fine,3.0
fit,4.0
fitrah,3.0
fokus,0.5
follback,1.0
formasi,3.0
foto,3.0
free,3.0
friends,3.0
fusi,4.0
gagah,2.0
gairah,0.5
gajak,4.0
gali ilmu,4.0
gambir,3.0
game,2.0
gampang,0.5
ganduh,3.0
gangsar,0.5
gani,4.0
ganjar,1.0
ganjar balas,1.0
ganjaran balasan,1.0
gapah,5.0
gapai,3.0
gapaian,3.0
garda,3.0
gari,3.0
garing,5.0
garis besar,2.0
gatra,3.0
gebyar,4.0
gedembal,2.0
geger,0.5
gelak,2.0
gelar,2.0
geleser,1.0
gema,1.0
gemar,2.0
gembira,1.0
gembur,5.0
gemi,3.0
gemirang,4.0
gempa,4.0
gempa bumi,4.0
gempar,1.0
gending,1.0
gengsi,4.0
genial,4.0
genit,1.0
genius,3.0
gentas,0.5
gerak gerik,1.0
gerak hati,4.0
gerak laku,1.0
gerak-gerik,4.0
gerakan,4.0
gerha,3.0
gerimis,1.0
getas,5.0
giliran,3.0
girang,3.0
girik,3.0
girik-girik,3.0
gita,2.0
gobek,3.0
gol,3.0
golongan atas,5.0
gombal,2.0
gombrang,3.0
gombroh,3.0
gombrong,3.0
gontai,1.0
good,5.0
grahita,3.0
gratifikasi,2.0
gratis,4.0
great,3.0
gres,4.0
guar,3.0
gubahan,3.0
gubris,0.5
gudi,4.0
gugah,0.5
guna,1.0
guntang-guntang,3.0
gurih,1.0
guru,3.0
gurufavorit,3.0
gusti,4.0
gutuk,4.0
guys,1.0
gws,2.0
habituasi,1.0
hadiah,0.5
hai,3.0
hakimah,4.0
hallo,4.0
halo,1.0
haloo,3.0
hamba Allah,3.0
hamba allah,3.0
hamparan,3.0
hangat,0.5
happy,5.0
harga,3.0
harga diri,3.0
harkat,5.0
harmonis,1.0
harmonisasi,3.0
harmonisasiuniv,2.0
harum,5.0
hasil,3.0
hastag,1.0
hay,1.0
hayat,0.5
hayo,4.0
heban,4.0
hebring,3.0
hello,2.0
helloo,1.0
hellooo,2.0
help,2.0
hemat,0.5
heran,0.5
herbal,2.0
hi,1.0
hias,3.0
hiasan,3.0
hibah,4.0
hidang,2.0
hii,3.0
hiii,1.0
hijau,3.0
hikmah,2.0
hikmat,3.0
hilir,4.0
hipotetis,3.0
hiruk-pikuk,0.5
hitung,1.0
homogen,2.0
hostel,1.0
hotel,1.0
hujan gerimis,1.0
hujan ringan,2.0
hulubalang,3.0
hutan,3.0
hy,1.0
ibadah,4.0
ibadat,4.0
idam,0.5
idaman,3.0
ideal,3.0
idiosinkratis,4.0
iflix,1.0
ihsan,4.0
ijtihad,3.0
ikhlas,4.0
iktifak,4.0
ikut serta,3.0
ikutan,0.5
ilmu,4.0
ilusi,3.0
imaji,3.0
imbal,1.0
imbuh,1.0
imitasi,3.0
imla,1.0
impian,3.0
import,2.0
impulsif,3.0
imut-imut,1.5
inap,2.0
inayat,4.0
indah,0.5
indah ambang,4.0
individual,4.0
infak,4.0
inferensi,3.0
infinit,3.0
informasinya,2.0
ingat-ingat,0.5
ingatan,3.0
inkorporasi,3.0
inovasi,4.0
insinye,4.0
instingtif,3.0
insyaallah,2.0
intan,3.0
integrasi,3.0
intelektual,3.0
intensi,3.0
interaksi,0.5
interes,4.0
interferensi,2.0
interpretasi,3.0
interupsi,3.0
intim,2.0
intrik,0.5
intuitif,3.0
inventif,4.0
inventivitas,4.0
invitasi,2.0
invite,1.0
irama,4.0
iritasi,1.0
isbat,3.0
isi perut,3.0
islam,4.0
itifak,4.0
itihad,3.0
jabar,3.0
jagalah,3.0
jago,3.0
jagoan,3.0
jajak,3.0
jala,3.0
jalan bebas hambat,0.5
jalan bebas hambatan,0.5
jalan buka,3.0
jalan keluar,3.0
jalan tengah,3.0
jalan terbuka,3.0
jalanin,2.0
jali,2.0
jamhur,3.0
jamiah,1.0
jamik,3.0
jamil,2.0
jangka,3.0
jantan,5.0
jaring,3.0
jasa,4.0
jaswadi,3.0
jatah,1.0
jawara,3.0
jaya,4.0
jebakan,3.0
jelak,3.0
jelang,3.0
jeli,0.5
jempol,4.0
jempolan,4.0
jenak,1.0
jenang,4.0
jentelmen,3.0
jernih,4.0
jernih (suasana),1.0
jernih suasana,1.0
jiawang,5.0
jibilah,4.0
jidur,3.0
jigrah,3.0
jihad,3.0
jilbab,3.0
join,1.0
joli,1.0
jreng,3.0
juak-juak,5.0
jual,1.0
jualan,1.0
judul,2.0
jujur,1.5
julat,3.0
jumat,2.0
jumpa muka,3.0
juta,2.0
kaci,4.0
kadang,3.0
kadang-kadang,3.0
kadar,5.0
kado,2.0
kagum,1.0
kaisar,4.0
kait,1.0
kaji,4.0
kajian,4.0
kakek,3.0
kaki tangan,4.0
kalem,1.0
kalis,4.0
kalong,3.0
kam,2.0
kamil,3.0
kampanye,3.0
kandis,4.0
kanjang,4.0
kanjeng sultan,4.0
kantong,1.0
kapabilitas,3.0
kapasitas,3.0
karena Allah,2.0
karena allah,2.0
karib,4.0
karimah,4.0
karsa,3.0
karunia,4.0
karya,3.0
karyawan,3.0
kasad,1.0
kasatmata,4.0
kasih,0.5
kasih sayang,2.0
kasihan,0.5
kasual,3.0
kawakan,5.0
keahlian,3.0
keaktifan,2.0
keampuhan,4.0
kebahagiaan,4.0
kebaikan,4.0
kebajikan,4.0
