word,big
bercempera,-1.0
bercengkerama,-0.4
bercerai-berai,-1.0
bercermin,0.8
bercikun-cikun,-1.0
bercintaan,-0.6
bercita rasa,0.6
bercokol,-0.4
bercorak,-0.6
bercucuran,-1.0
bercumbu,-0.8
bercumbu-cumbu,-0.6
bercumbuan,-0.6
bercura,-0.8
berdagang,0.6
berdakwa,-0.8
berdalih,-0.8
berdampingan,-0.6
berdandan,0.8
berdansa,-0.4
berdarah,0.8
berdarah dingin,-0.8
berdasarkan,-0.8
berdaulat,0.44
berdaya,0.55
berdaya guna,0.8
berdebat,-1.0
berdedikasi,-0.6
berdekatan,-0.8
berdekus,-0.6
berdendang,0.8
berdengung,-0.6
berdengus,-0.6
berdenyut,-0.45
berderajat,0.8
berderum,-0.8
berdesakan,-0.6
berdesir,-0.4
berdiam,0.4
berdikari,-0.63
berdikit-dikit,-0.6
berdisiplin,0.8
berdoa,0.4
berdompol,-0.8
berdosa,-0.775
berdua,0.2
berduaan,-0.6
berduit,0.8
berduka,-0.94
berdukacita,-0.75
berdusta,-0.8
berduyun-duyun,-0.6
beredak,-1.0
beredar,0.4
beregu,-0.6
berembuk,0.6
berengsaan,-0.8
berengsek,-1.0
berenti,-0.6
berfaedah,0.76
berfalsafah,-0.5
berfoya-foya,-0.63
bergabung,-0.8
bergadang,-0.8
bergaduh,-1.0
bergairah,0.3
bergajul,-1.0
bergamat,0.8
bergamit,-0.6
berganda,-0.6
berganduh,-0.6
berganggang,-0.6
bergantung,0.4
bergas,0.5
bergaul,0.345
bergaung,-0.6
bergaya,0.5
bergejolak,-0.6
bergelandangan,-0.75
bergelanggang,-0.3
bergelegak,-0.6
bergelombang,-0.63
bergelora,-0.36999999999999994
bergelut,-0.8
bergema,-0.4
bergemam,-0.6
bergembung,-0.6
bergeming,0.2
bergemuruh,-0.6
bergenang,-0.63
bergengsi,0.8
bergerak,-0.75
bergerombol,-0.8
bergerombolan berkawanan,-0.8
bergesek,-0.6
bergesel,-0.6
bergeser,-0.8
bergetar,-0.3
bergiat,0.56
bergigi,0.6
bergolak,-0.815
bergolongan,0.8
bergontok,-0.8
bergosok,-0.6
bergosokan,-0.6
bergoyah,-0.8
bergoyang,0.5
berguam,-0.8
berguguran,-0.6
bergulat,-0.8
bergulir,-0.6
bergumam,-0.6
bergumul,-0.8
berguna,0.86
berguncang,-1.0
bergundang,-1.0
bergurau,0.44
bergurau senda,-0.8
berguru,0.6
berguyub,-0.6
berhajat,0.4
berhala,-0.8
berhamburan,-1.0
berhandai-handai,-0.6
berhantaran,-1.0
berhanyut,-0.8
berharap,0.4
berharapan,0.63
berharga,0.5800000000000001
berharta,0.775
berhasil,0.59
berhasrat,0.615
berhati pilu,-0.75
berhati walang,-0.6
berhati-hati,0.41
berhelat,-0.8
berhenti (tugas),-0.4
berhikmah,0.4
berhimpun,-0.8
berhormat,0.75
berhujah,-0.8
beri,0.2
beri (uang),-0.4
beri uang,-0.4
beribadat,0.4
berida,0.5
berikhtiar,0.5800000000000001
beriktikad,0.4
berilmu,0.7150000000000001
beriman,0.6
berimbas,0.6
berimbuh,0.2
beringas,-0.8
beringat,0.375
beringat-ingat,0.5
beringin,0.63
beringsut,-0.6
berirama,0.4
beristirahat,0.3
berita,-0.8
berjaga,-0.5
berjaga-jaga,0.41500000000000004
berjangkit,0.63
berjarak,-0.8
berjasa,0.8
berjatuhan,-0.3
berjauh hati,-0.6
berjaya,0.635
berjejak,-0.6
berjejal,-0.6
berjejal-jejal,-0.6
berjejas,-1.0
berjenis-jenis,0.6
berjerih,-0.5
berjihad,0.3
berjilbab,0.6
berjiwa,0.6
berjubal,-0.6
berjumbai,-0.75
berjunjungan,0.8
berkabilan,0.75
berkabung,-1.0
berkabut,-0.55
berkaca,0.8
berkah,0.8
berkait,0.6
berkaitan,0.6
berkalang tanah,-0.4
berkandung,1.0
berkarat,-0.525
berkarut,-1.0
berkarya,0.6
berkasih-kasihan,-0.6
berkat,0.2
berkategori,0.8
berkawal,0.8
berkawan,-0.6
berkawanan,-0.8
berkeberatan,-0.775
berkecai,-1.0
berkecambah,0.6
berkecamuk,-0.8
berkecandan,-0.8
berkecenderungan,-0.6
berkecuali,-0.75
berkecukupan,0.8
berkedudukan,0.8
berkegiatan,0.8
berkeinginan,0.425
berkejaran,-0.6
berkekuatan,1.0
berkelakar,-0.8
berkelebihan,0.69
berkelir,-0.6
berkelok-kelok,-0.4
berkelompok-kelompok,-0.8
berkeluarga,-0.4
berkemal,-0.8
berkemam,-0.6
berkemampuan,0.69
berkemandang,-0.6
berkemas-kemas,-0.4
berkembang biak,-0.6
berkemih,-0.6
berkenaan,0.7150000000000001
berkenalan,-0.6
berkenan,0.4
berkepercayaan,0.8
berkeping-keping,-1.0
berkerak,-0.4
berkeras,-0.69
berkeras hati,0.4
berkeras-kerasan,-0.8
berkerubung,-0.8
berkerumun,-0.8
berkerut,-0.4
berkesan,0.5
berkesesuaian,0.6
berketakutan,-0.63
berketar-ketar,-0.6
berketurunan,0.4
berkewajiban,0.88
berkeyakinan,0.6
berkhasiat,0.8
berkhianat,-1.0
berkilah,-0.8
berkilat,0.5
berkilau,0.5
berkilau-kilauan,0.63
berkinte,0.6
berkisar,-0.6
berkobar-kobar,0.4
berkolusi,-1.0
berkomplot,-0.8
berkongkalikong,-0.8
berkonspirasi,-0.8
berkorban,-0.6
berkualitas,0.7150000000000001
berkuasa,0.4
berkuat,-0.4
berkukuh,0.4
berkuliah,-0.8
berkumandang,-0.6
berkunjung,-0.8
berkupak,-0.6
berkurang,-0.55
berkurangan,-0.6
berkurap,-0.8
berkutu,-0.63
berlaba,0.8
berlabuh,-0.4
berlaga,-0.8
berlagak,0.48500000000000004
berlagu,0.7150000000000001
berlainan,-0.6000000000000001
berlalu,-1.0
berlalu dr dunia,-1.0
berlama-lama,-0.4
berlandaskan,-0.8
berlangau,-0.8
berlangganan,0.4
berlanggaran,-0.8
berlanglang,0.8
berlara-lara,-0.8
berlarasan,0.6
berlarat-larat,-0.8
berlarian,-1.0
berlatih,0.8
berlawanan,-0.525
berlebih,-0.3666666666666667
berlebih-lebih,-0.8
berlebih-lebihan,-0.5
berlebihan,-0.5
berlelehan,-0.6
berlengkesa,-0.6
berlepasan,-0.6
berlevel,0.8
berlezat,0.4
berlibat,0.6
berlibat-libat,-0.8
berlik,-0.8
berliku-liku,-0.8
berlilit,0.6
berlimpah,0.2
berlinang,-0.6
berlipat,-0.6
berlipat ganda,-0.6
berlompatan,-1.0
berloncatan,0.5
berlubang,-0.6
berlumar,-0.75
berlumpur,-0.88
berluruhan,-0.6
berlutut,-0.4
bermacam-macam,0.6
bermain-main,-0.4
bermakna,0.8
bermalas-malas,-0.63
bermanfaat,0.85
bermartabat,0.8
bermaslahat,0.4
bermegah,-0.75
bermenung,0.5
bermesraan,-0.6
bermetamorfosis,-0.6
berminyak,-0.88
bermohon,0.3
bermohon diri,0.4
bermoral,-0.525
bermotif,-0.6
bermukah,-0.8
bermukim,-0.4
bermula,-0.8
bermuram,-0.88
bermuram durja,-1.0
bermusuhan,-0.7150000000000001
bermutu,0.41
bernafsu,0.615
bernama,0.8
bernanah,-0.63
bernapaskan,0.6
bernas,-0.3
bernaung,-0.75
bernilai,0.49
bernoda,-0.8
bernuansa,-0.6
bernyali,0.4
bernyali besar,0.3
bernyanyi,0.4
bernyawa,0.56
berogak-ogak,-0.8
beroleh,0.6
berolok-olok,-0.8
berombongan,-0.8
beromong kosong,-0.8
berona,-0.6
berongga,-0.6
beroperasi,-0.4
berotak tajam,0.8
berpacangan,0.6
berpacaran,0.3
berpada-pada,-0.3
berpadanan,0.56
berpadu,-0.6
berpakaian,0.8
berpalit-palit,-0.8
berpamor,0.6
berpandangan,0.2
berpangku tangan,-0.8
berparade,0.2
berparak,-0.8
berpartai,-0.6
berpartisipasi,0.6
berpasangan,-0.6
berpasrah,0.3
berpasuk,-0.6
berpatokan,0.8
berpatroli,0.8
berpatutan,0.5
berpaut,0.6
berpecah,-0.5
berpedoman,0.8
berpegang,0.8
berpelajaran,0.65
berpeluang,0.5
berpembawaan,0.2
berpencar,-1.0
berpencaran,-0.6
berpendidikan,0.6
berpendirian,0.75
berpengalaman,0.43333333333333335
berpengaruh,0.3
berpengetahuan,0.67
berperai-perai,-1.0
berperan serta,0.4
berperang,-0.4
berperang hati,-0.8
berperang mulut,-0.6
berperingkat,0.8
berpijar,-0.6
berpilin,0.6
berpisah,-0.63
berpiuh,0.6
berpola,0.8
berpoleng,-0.6
berprakarsa,0.6
berprasangka,-0.3
berprinsip,0.75
berproses,-0.3
berpuak-puak,-0.8
berpuaka,-0.6
berpucuk,-0.8
berpulas,0.6
berpunya,0.8
berpura-pura,-0.65
berpusing,-0.75
berpusu,-0.6
berputar-putar,-0.8
berputih tulang,-0.4
berputra,0.6
bersaba,-0.6
bersabar,0.5
bersabung nyawa,-0.6
bersagang,0.8
bersahabat,0.4
bersahaja,0.645
bersaji,0.8
bersalah,-0.69
bersalahan,-0.8
bersalin,0.6
bersama,0.6
bersamamu,0.6
bersambang,0.8
bersandar,-0.75
bersandarkan,-0.8
bersanding,-1.0
bersangga,0.8
bersanggama,0.5
bersanggit,-1.0
bersangkal,-1.0
bersangkut,-0.4
bersara,-0.615
bersatu,-0.2
bersaudara,0.5
bersauh,0.8
bersaur,0.6
bersayap,0.8
bersebab,-0.5
bersebaran,-1.0
bersebelahan,-0.8
berseberangan,-0.6
bersedia,0.25333333333333335
bersedih,-0.875
bersejarah,0.63
bersekolah,0.6
bersekongkol,-0.8
bersekutu,-1.0
berselang,-0.6
berselawat,0.3
berselekeh,-0.75
berselerak,-0.5
berselingkuh,-1.0
berselisih,-1.0
berseloroh,-0.8
berseluk,0.6
bersemangat,0.45
bersemayam,0.4
bersembahyang,0.5
bersemi,0.6
bersempena,-0.6
bersempuras,-0.675
bersenandung,0.8
bersenda gurau,-0.8
bersendel,0.8
bersendeng,0.8
bersender,0.8
bersendi,-0.7150000000000001
bersendikan,-0.8
bersendu,-0.75
bersengaja,-0.4
bersengat,1.0
bersengketa,-0.8
berseni,0.8
bersentuh,-1.0
bersepai,-1.0
berserabut,-0.5
berserah,-0.4
berserakan,-1.0
berseri,0.8
berseri-seri,0.5
berserikat,-0.6
bersesak-sesak,-0.6
bersesal,-0.4
bersesuaian,0.55
berseteru,-0.7150000000000001
bersetuju,0.6
bersia-sia,-0.63
bersiap,0.2
bersih,0.47
bersikukuh,-0.4
bersila,-0.4
bersilih,-0.6
bersimbah,-0.6
bersimpati,0.61
bersimpuh,0.3
bersinar,0.65
bersinggungan,-0.6
bersipongang,-0.6
bersisalak,-0.8
bersistem,-0.5
bersitegang,0.4
bersiteguh,-0.4
bersokom,-0.8
bersopan santun,0.5
berstatus,0.8
bersuai,0.5
bersuka-suka,-0.6
bersuka-sukaan,-0.6
bersukaria,0.72
bersulur,0.6
bersumber,0.8
bersungguh-sungguh,0.4
bersungkawa,-0.6
bersungut,-0.5
bersungut-sungut,-0.63
bersurai,-0.6
bersusah,-1.0
bersusah hati,-1.0
bersusila,-0.4
bersyukur,0.75
bertabrakan,-0.8
bertaburan,-1.0
bertahan,0.4
bertaki,-0.6
bertakung,-0.63
bertakwa,0.8
bertala-tala,-0.6
bertalun-talun,-0.6
bertambah,-1.0
bertambatan,0.6
bertambun,-0.6
bertamu,-0.8
bertandang,-0.8
bertanding,-0.4
bertanduk,0.3
bertangkap,-0.6
bertanya,0.4
bertanya-tanya,0.4
bertapa,-0.6
bertapakkan,-0.8
bertara,-0.3
bertaraf,0.6
